,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
14,1561469191445794818,2022-08-21 21:44:00+00:00,JaguarsViews,Man seen in Jaguars game brawl video says his family was harassed before he threw first punch #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/2gO4yxeFMs,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,man seen jaguars game brawl video says family harassed threw first punch,-0.5423,-0.07500000000000001,-0.6173,False
15,1561464472295940099,2022-08-21 21:25:15+00:00,Altmans3,Where is this? 🤣🤣 Many @Jaguars fans are restricted -really  miss Team Teal #Duuuval #DTWD https://t.co/uD2dTvYlf7,"['Duuuval', 'DTWD']",1,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,many fans restricted really miss team teal,-0.5413,0.35,-0.19130000000000003,False
17,1561450249486585856,2022-08-21 20:28:44+00:00,FitToTheMax24,"Big fight at the #Jaguars-#Steelers game just now. 

Disclaimer: Violence

⁦@Jaguars⁩ terrible security.  Where is the police? Inexcusable.  How long did this go on before anyone got there?","['Jaguars', 'Steelers']",2,1,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,big fight game disclaimer violence terrible security police inexcusable long go anyone got,-0.8126,-0.3625,-1.1751,False
18,1561446355515723778,2022-08-21 20:13:16+00:00,supermanwire,Head Coach Doug Pederson says Jaguars must improve two-minute defense https://t.co/CCbyxwSlKU via @thejaguarswire #DUUUVAL,['DUUUVAL'],0,0,"[User(username='TheJaguarsWire', id=814497268539789315, displayname='The Jaguars Wire', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,head coach doug pederson says jaguars must improve two minute defense via,0.5267,0.0,0.5267,True
19,1561445785706717184,2022-08-21 20:11:00+00:00,MC_Social_Club,"🔜THE FIRST 2.000/10.000🐆 FOR FREE!!! 
https://t.co/qJQE70PazW

#NFT #nfts #collection #opensea #eth #crypto #Collectibles #JAGUAR #jaguars #FreeMint #free https://t.co/DKIXNUa0E3","['NFT', 'nfts', 'collection', 'opensea', 'eth', 'crypto', 'Collectibles', 'JAGUAR', 'jaguars', 'FreeMint', 'free']",3,0,,,first 2 000 10 000 free,0.5106,0.325,0.8356000000000001,True
22,1561441514143846400,2022-08-21 19:54:01+00:00,JaguarsViews,Head Coach Doug Pederson says Jaguars must improve two-minute defense #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/iLu8REKKo5,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,head coach doug pederson says jaguars must improve two minute defense,0.5267,0.0,0.5267,True
23,1561441035951263745,2022-08-21 19:52:07+00:00,AndrewBR_sports,Gardner Minshew could quickly become a hot trade candidate around the NFL. Here are four Minshew trade destinations that fit for the QB. #Jaguars #DUUUVAL  #Vikings #Skol  @Sportsnaut https://t.co/YbLig17Zsx,"['Jaguars', 'DUUUVAL', 'Vikings', 'Skol']",2,1,"[User(username='Sportsnaut', id=1943371212, displayname='Sportsnaut', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,gardner minshew could quickly become hot trade candidate around nfl four minshew trade destinations fit qb,0.3612,0.3277777777777778,0.6889777777777778,True
24,1561440234776174594,2022-08-21 19:48:56+00:00,NFLDraftSi,"Plenty to be pleased about from the first team on Saturday. #Jaguars are on the up! #DUUUVAL 

https://t.co/GSUqM9gZDr","['Jaguars', 'DUUUVAL']",2,1,,,plenty pleased first team saturday,0.4404,0.375,0.8154,True
26,1561436542098440193,2022-08-21 19:34:16+00:00,sportsbluffpod,"How much will Trevor improve? Tune in tomorrow to hear our opinions!
https://t.co/wcA0E6ldnn
#SportsBluff #TrevorLawrence #NFL #Jaguars #podcast https://t.co/QF48dH72rA","['SportsBluff', 'TrevorLawrence', 'NFL', 'Jaguars', 'podcast']",0,0,,,much trevor improve tune tomorrow hear opinions,0.4404,0.2,0.6404000000000001,True
27,1561434983092346880,2022-08-21 19:28:04+00:00,SportsGrind_Don,"I was trying to figure out who Key plays like, but could quite call out the name at first. Then I saw this rep &amp; it hit me. I’m seeing a bit of Justin Tuck right here.

Very violent, can maneuver well through gaps &amp; keeps his balance through it. Am I alone on this lol?

#Jaguars https://t.co/OMRLLJYsvV",['Jaguars'],8,1,,,trying figure key plays like could quite call name first saw rep amp hit seeing bit justin tuck right violent maneuver well gaps amp keeps balance alone lol,0.3612,0.10714285714285714,0.46834285714285717,True
29,1561433003649372164,2022-08-21 19:20:12+00:00,PudgeBrooks,"15-5 on @EAMaddenNFL 

@Jaguars only…

This defense eats 

#DUUUVAL #dtwd","['DUUUVAL', 'dtwd']",0,0,"[User(username='EAMaddenNFL', id=50096544, displayname='Madden NFL 23', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,15 5 defense eats,0.128,0.0,0.128,True
31,1561432395018027008,2022-08-21 19:17:47+00:00,supermanwire,Jaguars quarterback Trevor Lawrence addresses disappointing loss to Steelers https://t.co/4hbRcA6hJt via @thejaguarswire #DUUUVAL,['DUUUVAL'],0,0,"[User(username='TheJaguarsWire', id=814497268539789315, displayname='The Jaguars Wire', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,jaguars quarterback trevor lawrence addresses disappointing loss steelers via,-0.6705,-0.6,-1.2705,False
32,1561432257839202306,2022-08-21 19:17:14+00:00,Russellmania621,"We won't know the true impact of Antonio Gibson's full role &amp;benching UNTIL after J.D. McKissic returns, hopefully in Week 1 vs. #Jaguars. 

Yesterday was a glimpse but how much does that change when JDM is back to normal? 

Something we discussed here 

https://t.co/aigC7frcta",['Jaguars'],4,0,,,wont know true impact antonio gibsons full role amp benching j mckissic returns hopefully week 1 vs yesterday glimpse much change jdm back normal something discussed,0.0946,0.20999999999999996,0.3046,True
33,1561431133828435969,2022-08-21 19:12:46+00:00,LazyDogBone,"What fucking low lifes throw hands at a meaningless preseason game?  

Jesus, at the very least, save that shit for a game in late November that has playoff implications. Losers. 
#Steelers #Jaguars https://t.co/yfmXP5AeG0","['Steelers', 'Jaguars']",2,0,,,fucking low lifes throw hands meaningless preseason game jesus least save shit game late november playoff implications losers,-0.9315,-0.2875,-1.2189999999999999,False
34,1561430439772012545,2022-08-21 19:10:01+00:00,JaguarsViews,Head Coach Doug Pederson says Jaguars must improve two-minute defense #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/9gJ7groO39,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",0,0,,,head coach doug pederson says jaguars must improve two minute defense,0.5267,0.0,0.5267,True
35,1561428300890644480,2022-08-21 19:01:31+00:00,BrookieStubbs,"Thoughts on the #Jaguars game:
Pros - The defense is looking really good. They are well ahead of where I thought they would be.
Cons -  Trevor struggled in the redzone throughout the night. And the kicking unit takes one step forward, two steps back.",['Jaguars'],1,0,,,thoughts game pros defense looking really good well ahead thought would cons trevor struggled redzone throughout night kicking unit takes one step forward two steps back,0.5678,0.09999999999999998,0.6678,True
36,1561427667278340112,2022-08-21 18:59:00+00:00,JaguarsViews,Jaguars quarterback Trevor Lawrence addresses disappointing loss to Steelers #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/gAbs0PvSWU,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,jaguars quarterback trevor lawrence addresses disappointing loss steelers,-0.6705,-0.6,-1.2705,False
37,1561425696555155457,2022-08-21 18:51:10+00:00,TheJaguarsWire,Doug Pederson pulled no punches in describing #Jaguars defensive struggles in crunch-time.  https://t.co/nIbOxkX2f6,['Jaguars'],1,0,,,doug pederson pulled punches describing defensive struggles crunch time,-0.34,0.0,-0.34,False
39,1561422607119155200,2022-08-21 18:38:54+00:00,JAXcommish,Why do I see “Lawrence struggles against Steelers” &amp; “Pickett shines against starters” ??? I must have watched a totally different game.  @jaguars #DUUUVAL #JAGUARS I’m a hometown homer but our first string defense wrecked havoc till they got taken out &amp; T-Law delivered lasers,"['DUUUVAL', 'JAGUARS']",5,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,see lawrence struggles steelers amp pickett shines starters must watched totally different game hometown homer first string defense wrecked havoc till got taken amp law delivered lasers,-0.7096,-0.05000000000000001,-0.7596,False
42,1561418445689946112,2022-08-21 18:22:21+00:00,pfww_vegas,"#SteelersNation, you should be feeling great about yesterday. We at #PFWW had your guys to win yesterday’s preseason game against the #Jaguars. Check out our pre-game write-up and join us for all your 2022 season picks. https://t.co/O5m0d2BHEJ #ProFootball #Winning","['SteelersNation', 'PFWW', 'Jaguars', 'ProFootball', 'Winning']",0,0,,,feeling great yesterday guys win yesterday preseason game check pre game write join us 2022 season picks,0.891,0.20000000000000004,1.091,True
46,1561411058300080129,2022-08-21 17:53:00+00:00,JaguarsViews,Jaguars quarterback Trevor Lawrence addresses disappointing loss to Steelers #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFan https://t.co/J9NtfiDo2x,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFan']",0,0,,,jaguars quarterback trevor lawrence addresses disappointing loss steelers,-0.6705,-0.6,-1.2705,False
47,1561409504767627264,2022-08-21 17:46:50+00:00,TheJaguarsWire,Trevor Lawrence was optimistic that the #Jaguars offense could turn their fortunes around in comments to the media after Saturday’s loss vs. #Steelers  https://t.co/ABvlqINVBe,"['Jaguars', 'Steelers']",2,0,,,trevor lawrence optimistic offense could turn fortunes around comments media saturday loss vs,-0.25,0.0,-0.25,False
48,1561407303219384321,2022-08-21 17:38:05+00:00,JbThecoolboos,"WATCH: Multiple Jaguars and Steelers fans get involved in massive brawl during preseason game 
https://t.co/JzNLmUAxwW

#NFL #Preseason #Jaguars #Steelers","['NFL', 'Preseason', 'Jaguars', 'Steelers']",0,0,,,watch multiple jaguars steelers fans get involved massive brawl preseason game,0.0,-0.13333333333333333,-0.13333333333333333,False
49,1561405521449607169,2022-08-21 17:31:00+00:00,JaguarsViews,Doug Pederson reveals the key to fueling Trevor Lawrence’s success for Jacksonville Jaguars #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFootball https://t.co/3j4uSNfv0E,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFootball']",0,0,,,doug pederson reveals key fueling trevor lawrence success jacksonville jaguars,0.5719,0.15,0.7219,True
50,1561403846957666304,2022-08-21 17:24:21+00:00,DBrownShugaBabi,"I Love the #Jaguars rather they Winning or Losing 💛🐆🖤, that’s Real 904 Shyt!",['Jaguars'],4,0,,"Coordinates(longitude=-85.404424, latitude=34.983674)",love rather winning losing real 904 shyt,0.7184,0.39999999999999997,1.1184,True
52,1561403181103472648,2022-08-21 17:21:42+00:00,Ohio_Marijuana,"@TheNoahGoldberg: 'Big fight at the #Jaguars-#Steelers game just now. 

Disclaimer: Violence ' https://t.co/RAMw7Izk8O, see more https://t.co/AI4HgFfaiE","['Jaguars', 'Steelers']",2,0,"[User(username='TheNoahGoldberg', id=2474617531, displayname='Noah Goldberg', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,big fight game disclaimer violence see,-0.7717,-0.2,-0.9717,False
54,1561399985392046091,2022-08-21 17:09:00+00:00,JaguarsViews,Wild fan melee breaks out in stands during Steelers’ win over Jaguars #JagsNation #JacksonvilleJaguarsFootball #DUUUVAL #JAX https://t.co/DpiHKVelnL,"['JagsNation', 'JacksonvilleJaguarsFootball', 'DUUUVAL', 'JAX']",1,0,,,wild fan melee breaks stands steelers win jaguars,0.7269,0.45,1.1769,True
55,1561399668684509184,2022-08-21 17:07:45+00:00,3ptCnvrsn,"Jacksonville Jaguars see more positives in their preseason loss to the Pittsburgh Steelers.

#NFL #DUUUVAL #3ptcnvrsn

https://t.co/JOTsv6IAss","['NFL', 'DUUUVAL', '3ptcnvrsn']",2,1,,"Coordinates(longitude=-85.605166, latitude=30.355644)",jacksonville jaguars see positives preseason loss pittsburgh steelers,0.2732,0.0,0.2732,True
56,1561398001519796226,2022-08-21 17:01:07+00:00,AndrewBR_sports,Does Doug Pederson know something the others don't? The new #Jaguars coach shares his advice for Trevor Lawrence to have a more consistent season in 2022.#DUUUVAL  @Sportsnaut https://t.co/lQaAkDH0yE,"['Jaguars', 'DUUUVAL']",0,1,"[User(username='Sportsnaut', id=1943371212, displayname='Sportsnaut', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,doug pederson know something others dont new coach shares advice trevor lawrence consistent season 2022,-0.2235,0.19318181818181818,-0.030318181818181827,False
57,1561397754831818752,2022-08-21 17:00:08+00:00,TheJaguarsWire,These #Jaguars should have a major chip on their shoulder when #Jacksonville plays the #Pittsburgh #Steelers on Saturday  https://t.co/UKCF9X0M6N,"['Jaguars', 'Jacksonville', 'Pittsburgh', 'Steelers']",0,0,,,major chip shoulder plays saturday,0.25,0.0625,0.3125,True
58,1561397216920625152,2022-08-21 16:58:00+00:00,JaguarsViews,Wild Fan Melee Breaks Out In Stands During Steelers' Win Over Jaguars #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/fpr8ABlD7X,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,wild fan melee breaks stands steelers win jaguars,0.7269,0.45,1.1769,True
59,1561396268907241474,2022-08-21 16:54:14+00:00,supermanwire,3 clutch performances from Jaguars preseason loss to Steelers https://t.co/mIVDx0zy3P via @thejaguarswire #DUUUVAL,['DUUUVAL'],0,0,"[User(username='TheJaguarsWire', id=814497268539789315, displayname='The Jaguars Wire', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,3 clutch performances jaguars preseason loss steelers via,-0.3182,0.0,-0.3182,False
60,1561394657329696768,2022-08-21 16:47:50+00:00,SmolaDS,"#Jaguars WR Christian Kirk last night:

* 83% snap rate
* 92% route rate
* 8 targets (38% share)

📈📈📈",['Jaguars'],169,8,,,wr christian kirk last night 83 snap rate 92 route rate 8 targets 38 share,0.296,0.0,0.296,True
61,1561394448814276612,2022-08-21 16:47:00+00:00,JaguarsViews,Jaguars Vs. Steelers: 5 Things to Watch as Lawrence Battles Trubisky #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/h0I95zrgsy,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",0,0,,,jaguars vs steelers 5 things watch lawrence battles trubisky,-0.3818,0.0,-0.3818,False
62,1561393346936836097,2022-08-21 16:42:37+00:00,Alvaresjose11,"Give Trevor Lawrence a NFL Head Coach and kid will make plays. #DUUUVAL #Jaguars 

https://t.co/0Xx4dzptc5","['DUUUVAL', 'Jaguars']",6,0,,,give trevor lawrence nfl head coach kid make plays,0.25,0.0,0.25,True
63,1561392711495651328,2022-08-21 16:40:06+00:00,ContestedCatch,"One of my favorite cheap stacks is #Jaguars Lawrence &amp; Kirk.

TLaw’s rookie year.. just throw it out. Meyer, no weapons, whatever. Best QB prospect since Luck.

Kirk reset the WR market this yr. Very weak competition. Saw 8 targets out of 21 Lawrence passes yesterday (38%).

Buy.",['Jaguars'],1,0,,,one favorite cheap stacks lawrence amp kirk tlaw rookie year throw meyer weapons whatever best qb prospect since luck kirk reset wr market yr weak competition saw 8 targets 21 lawrence passes yesterday 38 buy,0.765,0.38125,1.14625,True
64,1561392254840864769,2022-08-21 16:38:17+00:00,BlackScorpRob,"So far this preseason, I have noticed the @Jaguars look faster and better overall on defense. The offense needs to clean up some errors in the passing game. Seems a little off at times. They need to put up td's in the damn redzone. Oh, we need a KICKER #DUUUVAL",['DUUUVAL'],0,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,far preseason noticed look faster better overall defense offense needs clean errors passing game seems little times need put tds damn redzone oh need kicker,-0.0,0.06319444444444444,0.06319444444444444,True
65,1561392097663623173,2022-08-21 16:37:40+00:00,MoviePaul,"Yo @Jaguars you guys really labeling #jaguars gear on your website as Pittsburgh Steelers? Here’s an idea, stop selling other team’s merch in your stadium &amp; store and this type of garbage wouldn’t happen. https://t.co/DnRNfBOOlU",['jaguars'],2,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,yo guys really labeling gear website pittsburgh steelers idea stop selling team merch stadium amp store type garbage happen,-0.296,0.2,-0.09599999999999997,False
66,1561390566700613635,2022-08-21 16:31:34+00:00,hayblinken,"Tell me if I'm incorrect here, but it feels like the first teams on both sides of the ball are committing less penalties. #Jaguars",['Jaguars'],0,0,,,tell im incorrect feels like first teams sides ball committing less penalties,0.4215,0.04166666666666667,0.46316666666666667,True
67,1561390021470453764,2022-08-21 16:29:24+00:00,SteelersStudio,The worse part of last night's game was hearing the #Jaguars announcers call Chase Claypool Chris Claypool every time they mentioned him last night. Which was only a few times but still painful. #Steelers #NFL,"['Jaguars', 'Steelers', 'NFL']",1,0,,,worse part last nights game hearing announcers call chase claypool chris claypool every time mentioned last night times still painful,-0.7184,-0.3,-1.0184,False
68,1561386803168518144,2022-08-21 16:16:37+00:00,JaxJaguar95,We gotta wait 3 weeks to see this BEAST defense again 😭😭😭 #DUUUVAL @Jaguars,['DUUUVAL'],3,0,"[User(username='Jaguars', id=59471027, displayname='Jacksonville Jaguars', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,gotta wait 3 weeks see beast defense,0.128,0.0,0.128,True
69,1561386165860593665,2022-08-21 16:14:05+00:00,DavidMedina_,If you haven't been watching the #Jaguars offense and Lawrence these last 2 wks👇. It is a thing of beauty! These throws and this balanced offense😍🔥. Look out once the season starts for them https://t.co/jvRKYujd7H,['Jaguars'],0,0,,,havent watching offense lawrence last 2 wks thing beauty throws balanced offense look season starts,0.7415,0.0,0.7415,True
70,1561386148206972934,2022-08-21 16:14:01+00:00,JaguarsViews,"Steelers 16, Jaguars 15: Christian Kirk and Other Winners and Losers #JaguarsFootball #JagsNation #DTWD #Duval #DUUUVAL #JAX https://t.co/7YOjnZtY9w","['JaguarsFootball', 'JagsNation', 'DTWD', 'Duval', 'DUUUVAL', 'JAX']",0,0,,,steelers 16 jaguars 15 christian kirk winners losers,-0.0772,-0.1,-0.17720000000000002,False
71,1561384635686330374,2022-08-21 16:08:00+00:00,SportsGrind_Don,"The offensive grades aren’t showing right now for them, but the top grades on defense for the #Jaguars vs. Pitt are as follows: 

DL Arden Key 90.0
DL Dawuane Smoot 85.8
DL Roy Robertson-Harris 81.2
CB Xavier Crawford 76.9
MLB Tyrell Adams 76.9

Clearly, a strong day for the DL.",['Jaguars'],84,4,,,offensive grades showing right top grades defense vs pitt follows dl arden key 90 0 dl dawuane smoot 85 8 dl roy robertson harris 81 2 cb xavier crawford 76 9 mlb tyrell adams 76 9 clearly strong day dl,0.6486,0.30476190476190473,0.9533619047619046,True
