,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
33,1559318414165942274,2022-08-15 23:17:35+00:00,RobinByrd3,"@ErikLambert1 As I told a fan a few minutes ago, I have heard of too many players no matter the sport hiring these so called advisers, who then manage to ruin their finances and careers. Athletes need to hire agents who care about them and not their money. #Bears",['Bears'],2,0,"[User(username='ErikLambert1', id=319117761, displayname='Erik Lambert', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,told fan minutes ago heard many players matter sport hiring called advisers manage ruin finances careers athletes need hire agents care money,0.2023,0.5,0.7023,True
34,1559318321194991616,2022-08-15 23:17:13+00:00,KeithInKeyWest,Just saw the no call late hit on Justin Fields from KC game. NFL is going to get him killed because he is a QB with running abilitg. #bears,['bears'],0,0,,,saw call late hit justin fields kc game nfl going get killed qb running abilitg,-0.6705,-0.3,-0.9704999999999999,False
35,1559318192257908761,2022-08-15 23:16:42+00:00,UnfilteredNBC,"After the first #Bears preseason game. @adamamin gives us his breakdown! 

#UnfilteredNBC | @NBCSBears https://t.co/xYdFzRE1sT","['Bears', 'UnfilteredNBC']",5,0,"[User(username='adamamin', id=18345726, displayname='Adam Amin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='NBCSBears', id=423536031, displayname='Bears Talk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,first preseason game gives us breakdown,0.0,-0.07500000000000001,-0.07500000000000001,False
36,1559318101023408129,2022-08-15 23:16:20+00:00,patrickfinley,"The #Bears have 3 first-round picks who are actually practicing.
Their second-rounders need to step up. On the three most recent ones: 
https://t.co/sz4yAU1HIU",['Bears'],11,2,,,3 first round picks actually practicing second rounders need step three recent ones,0.0,0.009999999999999998,0.009999999999999998,True
37,1559317350658281472,2022-08-15 23:13:21+00:00,BrandonShiffman,"This clip is a must check out for all @ChicagoBears fans! We give our thoughts on the upcoming season and much more. #Bears #BearDown #justinfields

https://t.co/Lq8mzRrYD5","['Bears', 'BearDown', 'justinfields']",6,1,"[User(username='ChicagoBears', id=47964412, displayname='Chicago Bears', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,clip must check fans give thoughts upcoming season much,0.0,0.2,0.2,True
39,1559317260740825088,2022-08-15 23:13:00+00:00,AmazinglyWykked,"The #49ers are likely waiting on the DW suspension. If he’s suspended for a year. The #Browns will likely jump at the chance to acquire JG. Meanwhile, the #Bears are in a rebuild mode. So it makes sense to trade RS.

#NFL 

https://t.co/E79ipvaJ6G","['49ers', 'Browns', 'Bears', 'NFL']",0,0,,,likely waiting dw suspension suspended year likely jump chance acquire jg meanwhile rebuild mode makes sense trade rs,-0.2732,0.0,-0.2732,False
40,1559317194428891136,2022-08-15 23:12:44+00:00,HGrahamNFL,"LOADED Bears Now episode 🐻⬇️

🏈Roquan Smith tampering violation?
🏈Teven Jenkins to right guard?
🏈Luke Getsy on Justin Fields' progress

WATCH: https://t.co/hRBtasz1pG

Also on @rumblevideo: https://t.co/GvtUdfaEJe

#DaBears https://t.co/BGmyfcURFp",['DaBears'],8,3,"[User(username='rumblevideo', id=808080314, displayname='Rumble - 🏴\u200d☠️ $RUM', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,loaded bears episode roquan smith tampering violation teven jenkins right guard luke getsy justin fields progress watch also,-0.1027,0.2857142857142857,0.18301428571428568,True
41,1559316832250634241,2022-08-15 23:11:18+00:00,AAmazingPaper,"#Care #Bear #Pop #Up #Card , Blank Card , #Kids , #Bears , #Carebear , #CheerBear , Care , #Heart #Rainbow , Kids , #Star , #Clouds , #Sun https://t.co/s4H6DnaBgQ via @Etsy","['Care', 'Bear', 'Pop', 'Up', 'Card', 'Kids', 'Bears', 'Carebear', 'CheerBear', 'Heart', 'Rainbow', 'Star', 'Clouds', 'Sun']",0,0,"[User(username='Etsy', id=11522502, displayname='Etsy', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,blank card care kids via,0.4939,0.0,0.4939,True
42,1559316757810118657,2022-08-15 23:11:00+00:00,BearsViews,Dazz Newsome haș standout catch in Bears practice #Bears #ChicagoBears #BearsNation #DaBears https://t.co/NKsgVV1dT6,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,dazz newsome ha standout catch bears practice,0.34,0.0,0.34,True
44,1559315629420707842,2022-08-15 23:06:31+00:00,PFN365,"All-Pro LB Roquan Smith has already requested a trade, and now the situation between him and the Chicago #Bears just got more complicated.

https://t.co/dhzmTnPbBR",['Bears'],29,12,,,pro lb roquan smith already requested trade situation chicago got complicated,0.0,-0.5,-0.5,False
46,1559314736155660289,2022-08-15 23:02:58+00:00,wiltfongjr,"Great to get to talk about an actual #Bears game with my co-host @gridironborn, so give us a listen on our latest 🐻&amp;⚖️ for our usual categories of:

☑️ Trench Tribute
☑️ Sweet Tweets
☑️ Caught up in a numbers game
☑️ The Fields Report
☑️ The 3 Bears
https://t.co/QY6zTYWDT7",['Bears'],9,3,"[User(username='gridironborn', id=2393170344, displayname='Jeff Berckes', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,great get talk actual game co host give us listen latest amp usual categories trench tribute sweet tweets caught numbers game fields report 3 bears,0.7964,0.08571428571428572,0.8821142857142857,True
47,1559314566202408968,2022-08-15 23:02:17+00:00,BearsViews,Bears' Soldier Field grass has a long history of being an obstacle #Bears #ChicagoBears #BearsNation #DaBears https://t.co/Bz4vbG6vTp,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,bears soldier field grass long history obstacle,-0.3612,-0.05,-0.4112,False
48,1559314285595172875,2022-08-15 23:01:11+00:00,BearsViews,Jay Cutler is the best Bears quarterback all-time #Bears #ChicagoBears #BearsNation #DaBears https://t.co/STZ7Stv4NC,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",1,0,,,jay cutler best bears quarterback time,0.6369,1.0,1.6369,True
50,1559313450530217985,2022-08-15 22:57:51+00:00,WillGrayPSN,I have @TrestanEbner in all 3 of my Dynasty Leagues and that’s going to pay off more than anyone knows. #Bears,['Bears'],0,0,"[User(username='TrestanEbner', id=3054275328, displayname='T.Eb🎒', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,3 dynasty leagues going pay anyone knows,-0.1027,0.0,-0.1027,False
51,1559313158996729857,2022-08-15 22:56:42+00:00,WCGridiron,"@robertkschmitz @Zack_Pearson .@Zack_Pearson always brings the #Bears goods, so check him out on @robertkschmitz's full show available right here! 
https://t.co/TrNGK90467",['Bears'],5,1,"[User(username='robertkschmitz', id=405002316, displayname='Robert Schmitz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Zack_Pearson', id=19843166, displayname='Zack Pearson', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Zack_Pearson', id=19843166, displayname='Zack Pearson', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='robertkschmitz', id=405002316, displayname='Robert Schmitz', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,always brings goods check full show available right,0.0,0.3452380952380952,0.3452380952380952,True
52,1559312730607140864,2022-08-15 22:55:00+00:00,UnfilteredNBC,"What was the biggest storyline from the #Bears preseason game against the #Chiefs? Justin Fields &amp; offense, Teven Jenkins, Roquan Smith, OR Soldier Field conditions?! 🐻 ⬇️ ⁉️","['Bears', 'Chiefs']",1,0,,,biggest storyline preseason game justin fields amp offense teven jenkins roquan smith soldier field conditions,-0.25,-0.4,-0.65,False
53,1559311977213997056,2022-08-15 22:52:00+00:00,BearsViews,The Best and Worst of the Chicago Bears Preseason Week One #Bears #ChicagoBears #BearsNation #DaBears https://t.co/tbA26Q6LNf,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",1,2,,,best worst chicago bears preseason week one,0.0258,0.0,0.0258,True
54,1559311840542433280,2022-08-15 22:51:28+00:00,wiltfongjr,Teven Jenkins had reps at right guard and the latest on the injured #Bears here @WCGridiron: https://t.co/9qnMOPkq0l,['Bears'],9,1,"[User(username='WCGridiron', id=849271685941518340, displayname='Windy City Gridiron', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,teven jenkins reps right guard latest injured,-0.4019,0.39285714285714285,-0.00904285714285713,False
56,1559311728298627073,2022-08-15 22:51:01+00:00,BearsViews,Roquan Smith may want to read up on Wilber Marshall #Bears #ChicagoBears #BearsNation #DaBears https://t.co/mnbhBEcTeA,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,roquan smith may want read wilber marshall,0.0772,0.0,0.0772,True
57,1559311484101877760,2022-08-15 22:50:03+00:00,Chi_Fans,Trevor Siemian on Justin Fields vs. KC: 'I liked how decisive he was' | Chicago Bears #Chicago #Bears #NFL Video: https://t.co/wCMdhmpvAd,"['Chicago', 'Bears', 'NFL']",1,0,,,trevor siemian justin fields vs kc liked decisive chicago bears video,0.5719,0.6,1.1719,True
58,1559311054710063104,2022-08-15 22:48:20+00:00,WCGridiron,"Teven Jenkins had reps at right guard for the #Bears, plus all the injury news. 

@wiltfongjr with the deets here: https://t.co/0k34Wf3Mld",['Bears'],6,0,"[User(username='wiltfongjr', id=372868698, displayname='Lester A. Wiltfong Jr.', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,teven jenkins reps right guard plus injury news deets,-0.4215,0.2857142857142857,-0.1357857142857143,False
59,1559310215572377600,2022-08-15 22:45:00+00:00,paytonsun,"Kangaroos gave my pops the Lambo after the Saints game when he broke Jim Brown’s record. I drove home w/ him that night. As we headed home, pops got it up to 120mph on I-90. Good times. #Bears @walterpayton https://t.co/oHBOSJC9w1",['Bears'],6195,326,"[User(username='walterpayton', id=97727712, displayname='Walter Payton', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,kangaroos gave pops lambo saints game broke jim brown record drove home w night headed home pops got 120mph 90 good times,0.0258,0.14999999999999997,0.17579999999999996,True
60,1559309655083552768,2022-08-15 22:42:47+00:00,MJDorty,"@FieldYates The #Packers have won 78 more games than the #Bears since 1992!

That is over 4 full season!

#GoPackGo","['Packers', 'Bears', 'GoPackGo']",1,0,"[User(username='FieldYates', id=58919137, displayname='Field Yates', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,78 games since 1992 4 full season,0.0,0.35,0.35,True
62,1559309410803060736,2022-08-15 22:41:48+00:00,MarkPotash,"Roquan Smith was not seen on the field at #Bears practice Monday for the first time since his ""hold-in"" began. https://t.co/p5kFgBfMV3",['Bears'],5,0,,,roquan smith seen field practice monday first time since hold began,0.0,0.25,0.25,True
63,1559309208117563402,2022-08-15 22:41:00+00:00,BearsViews,Chicago Bears: Five winners after week one of preseason #Bears #ChicagoBears #BearsNation #DaBears https://t.co/KbLfTL1rLG,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,2,,,chicago bears five winners week one preseason,0.4767,0.0,0.4767,True
64,1559308959579766784,2022-08-15 22:40:01+00:00,BearsViews,Observations from Bears Chiefs game #Bears #ChicagoBears #BearsNation #DaBears https://t.co/Yf2uekTWqV,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,observations bears chiefs game,0.0,-0.4,-0.4,False
66,1559307400045334529,2022-08-15 22:33:49+00:00,BearsOnTap,NFL Network released the first wave of its top 100 list and the #Bears were represented twice. #DaBears https://t.co/ut2tfHLWC3,"['Bears', 'DaBears']",3,0,,,nfl network released first wave top 100 list represented twice,0.2023,0.375,0.5773,True
67,1559307378427891716,2022-08-15 22:33:44+00:00,OnTapSportsNet,"Two Bears Players Make First Wave of NFL Network’s Top 100 List (via @ChiBerk96) 

@BearsOnTap | #DaBears 
https://t.co/7ylKvDacNg",['DaBears'],7,4,"[User(username='ChiBerk96', id=1115763991, displayname='Berk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BearsOnTap', id=1110599572466925569, displayname='Bears On Tap', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,two bears players make first wave nfl network top 100 list via,0.2023,0.375,0.5773,True
